model,ori_mse,vc_mse,tm_mse,si_mse,fg_mse,rn_mse
1,0.016936560248293,0.016936560248293,0.016936560248293,0.016936560248293,0.016936560248293,0.019419967802759
2,0.015959087972568,0.015959087972568,0.015959087972568,0.015959087972568,0.015959087972568,0.021139329705229
3,0.028190090878291,0.028190090878291,0.028190090878291,0.028190090878291,0.028190090878291,0.031185538324019
4,0.025913211925863,0.025913211925863,0.025913211925863,0.025913211925863,0.025913211925863,0.077013935407471
