seed_name,operator,cur_predict_angle,ori_predict_angle,is_err,ori_carla_angle,cur_carla_angle
seed_0_1_1.xosc,0,0.26438987,0.293810099363327,0,0.381460458040237,0.1584529727697372
seed_0_1_1.xosc,0,0.2750936,0.29088819026947,0,0.368039280176163,0.2502934038639068
seed_0_1_1.xosc,0,0.28752428,0.294260621070862,0,0.354112297296524,0.0703227221965789
seed_0_1_1.xosc,0,0.20869768,0.217324703931808,0,0.338191628456116,0.0739996805787086
seed_0_1_1.xosc,0,0.28462863,0.308641910552979,0,0.322109550237656,0.3716954588890075
seed_0_1_1.xosc,0,0.2265537,0.226095646619797,0,0.304577827453613,0.3340055048465729
seed_0_1_1.xosc,0,0.18164645,0.164454504847527,0,0.287785112857819,0.1051939874887466
seed_0_1_1.xosc,0,0.18384407,0.201172828674316,0,0.269341915845871,0.0142937060445547
seed_0_1_1.xosc,0,0.18325223,0.155531853437424,0,0.231799066066742,0.0195096433162689
seed_0_1_1.xosc,0,0.16448355,0.162196904420853,0,0.212831020355225,0.0566948056221008
seed_0_1_1.xosc,0,0.13455136,0.127114281058311,0,0.194133624434471,0.5249059200286865
seed_0_1_1.xosc,0,0.09024291,0.0932443514466286,0,0.175951987504959,0.3156799077987671
seed_0_1_1.xosc,0,0.032465264,0.0309198666363955,0,0.158452972769737,0.217222511768341
seed_0_1_1.xosc,0,0.0649008,0.0520378686487675,0,0.141891956329346,0.1489297747611999
seed_0_1_1.xosc,0,0.072864205,0.0470834784209728,0,0.126297786831856,0.0475885495543479
seed_0_1_1.xosc,0,0.02246155,0.0111897392198443,0,0.0984121933579445,0.3220714330673218
seed_0_1_1.xosc,0,0.019166546,0.0200793333351612,0,0.0866529643535614,0.1454261988401413
seed_0_1_1.xosc,0,0.041108817,0.042110126465559,0,0.0761342495679855,0.1037914305925369
seed_0_1_1.xosc,0,0.09137232,0.0938214957714081,0,0.0671054422855377,0.0794098451733589
seed_0_1_1.xosc,0,0.025482148,0.0319753848016262,0,0.0589870028197765,0.5337972640991211
seed_0_1_1.xosc,0,0.04092147,0.0268973652273417,0,0.0519124418497086,0.2205776870250702
seed_0_1_1.xosc,0,0.21761653,0.237659186124802,0,0.33847114443779,0.1094662770628929
seed_0_1_1.xosc,0,0.18444976,0.185811966657639,0,0.294775873422623,0.0465574003756046
seed_0_1_1.xosc,0,0.17015468,0.169874787330627,0,0.250293403863907,0.3210889399051666
seed_0_1_1.xosc,0,0.122681335,0.137133732438087,0,0.208629935979843,0.2251557409763336
seed_0_1_1.xosc,0,0.21668184,0.204584777355194,0,0.170304179191589,0.1563287675380706
seed_0_1_1.xosc,0,0.17788242,0.213170737028122,0,0.140048816800118,0.0932646989822387
seed_0_1_1.xosc,0,0.19701283,0.196495875716209,0,0.111233651638031,0.0857262685894966
seed_0_1_1.xosc,0,0.2718072,0.276343137025833,0,0.0918344855308533,0.5170824527740479
seed_0_1_1.xosc,0,0.2826235,0.270207762718201,0,0.0692931562662125,0.3707122206687927
